description,years_exp,country,salary_range,job_category,job_title,required_skills
"● Selecting features, building and optimizing classifiers using machine learningtechniques● Data mining using state-of- the-art methods● Extending company’s data with third party sources of information when needed● Enhancing data collection procedures to include information that is relevant forbuilding analytic systems● Processing, cleansing, and verifying the integrity of data used for analysis● Doing ad-hoc analysis and presenting results in a clear manner● Creating automated anomaly detection systems and constant tracking of itsperformance● Become a domain and product expertSkills and Qualifications● Masters or Phd preferred with Strong problem solving skills with an emphasis onproduct development.● Excellent understanding of domains like US Real Estate, US Automotive, UShealthcare, India Insurance Domain● Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.● Experience with common data science toolkits, such as R, Weka, NumPy, MatLab,etc● Great communication skills● Experience with data visualisation tools, such as D3.js, GGplot, etc.● Proficiency in using query languages such as SQL, Hive, Pig● Experience with NoSQL databases, such as MongoDB, Cassandra, HBase● Good applied statistics skills, such as distributions, statistical testing, regression,etc.● Good scripting and programming skills in R, Python, Spark etc.● Data-oriented personality● Knowledge and experience in statistical and data mining techniques:GLM/Regression, Random Forest, Boosting, Trees, text mining, social networkanalysis, etc.● Experience visualizing/presenting data for stakeholders using: Periscope, BusinessObjects, D3, ggplot, etc.● Knowledge of a variety of machine learning techniques (clustering, decision treelearning, artificial neural networks, etc.) and their real-world advantages/drawbacks.● Knowledge of advanced statistical techniques and concepts (regression, propertiesof distributions, statistical tests and proper usage, etc.) and experience withapplications.● Excellent written and verbal communication skills for coordinating across teams.● A drive to learn and master new technologies and techniques.-Tier 1 : Entire Education-No Restriction- 800k to 3000k-
Boosting
,
D3.Js
,
Deep Learning
,
Ggplot2
,
Hbase
,
Hive
,
Machine Learning
,
Matlab
,
Mongodb
,
Naive Bayes
,
No Sql
,
Numpy + Scipy
,
Pig
,
Python
,
R
,
Random Forest
,
Regression
,
Spark
,
Sql
,
Svm
,
Text Mining
,
Weka
-
Bengaluru
,
Thiruvananthapuram
!!!",4.0,"Bengaluru,Thiruvananthapuram",800k to 3000k,Data_Analytics,Data Scientist - Trivandrum / Bangalore ( 4 - 10 years of Experience),"Boosting,D3.Js,Deep Learning,Ggplot2,Hbase,Hive,Machine Learning,Matlab,Mongodb,Naive Bayes,No Sql,Numpy + Scipy,Pig,Python,R,Random Forest,Regression,Spark,Sql,Svm,Text Mining,Weka"
"Requirements:-•Expertise in Java-•Expertise and experience in solution architecture-•Experience with cloud deployment-•Familiarity with agile development, scrum-•Experience in managing a project-•Proficiency in Python-•Familiarity with SQL and no-SQL databases-•Familiar with AWS stackValuable plus (not required):-•Machine learning-•Data mining-•Full-stack engineer-•Natural Language Processing-Does Not Matter-Under Graduate- 500k to 800k-
Aws
,
Data Mining
,
Java
,
Machine Learning
,
Nlp
,
Nosql
,
Python
-
Calcutta
,

Pune
!!!",3.0,"Calcutta,Pune",500k to 800k,Data_Analytics,AWS/ Cloud Engineer - Pune/Kolkata (3 to 7 years of Experience),"Aws,Data Mining,Java,Machine Learning,Nlp,Nosql,Python"
"Does Not Matter-Under Graduate- 500k to 850k-
Excel
,
Qlikview
,
R
,
Sql
,
Statistics
,
Tableau
,
Vba
-
Pune
!!!",3.0,Pune,500k to 850k,Data_Analytics,Business Analyst- Pune (3-4 Years of Experience),"Excel,Qlikview,R,Sql,Statistics,Tableau,Vba"
"•Research the evolving datasets and advanced analytical techniques to develop new offerings/solutions-•Deliver client impact by collaboratively implementing these solutions-•Provide thought leadership by developing the Point of View in this spaceThe Data Science Consultant will play a critical role in designing, developing and implementing analytical techniques on large, complex, structured and unstructured data sets (including big data) to help client make better decisions in sales and marketing space, with guidance from Data Science senior leadership.-Specific responsibilities include: Client impact-﻿•Developing advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner-•Implementing statistical and data mining techniques e.g. hypothesis testing, machine learning, and retrieval processes on a large amount of data to identify trends, figures and other relevant information-•Collaborating with clients and other stakeholders to effectively integrate and communicate analysis findings-•Providing guidance and project management support to the Associates and/or Associate Consultants on the teamResearch & firm contribution-•Evaluating emerging datasets and technologies that may contribute to our analytical platform-•Owning the development of select assets/accelerators for efficient scaling of capability-•Contributing to the thought leadership of the firm by helping in researching the evolving topics and publishing them-﻿Qualifications:-•Educational background of Master’s or PhD in Computer Science (OR Statistics/Operations Research) from a premier instituteKey competencies-•Experience with working with RWE data sources such as medical claims, electronic health records, registries-•Have a strong understanding of RWE use cases such as Treatment patterns, Cost of medications, Prevalence and impact of various risk factors or relevant topics-•Exposure to instance based learning / online learning algorithms such as Mini-batch dictionary learning, Incremental PCA.-•Exposure to machine learning approaches applied in real-world evidence-•Understand the data from various sources and build models that can provide actionable insights-•Strong programming skills in at least one language – Java/Python/R-•Exposure to tools/platforms – Hadoop eco system and DB systems-•Agile project planning and project management skills-•Excellent communication skills-﻿Approach to work-•Research focused mindset with strong attention to detail-•Excellent critical thinking and problem solving skills; ability to devise a structure for solving unstructured problems / for conducting exploratory analytics-•High motivation, good work ethic and maturity-Tier 1: Any Degree-Post Graduate- 1500k to 2500k-
Hadoop
,

Java
,
Machine Learning
,
Python
,
R
,
Real World Evidence (Rwe)
-
Gurugram
,
Pune
!!!",2.0,"Gurugram,Pune",1500k to 2500k,Data_Analytics,Data Science Consultant – Real World Evidence - Gurgaon/Pune (2 to 4 Years of Experience),"Hadoop,Java,Machine Learning,Python,R,Real World Evidence (Rwe)"
"•Interpret calling output for data quality-•Run DM selection and measurement scenarios-•Create power points for customers, internal and external-Qualification and Skills Required-•Someone with SQL and power point knowledge.-•Engineering degree or MBA with 1-2 year exp. -Preferred-•Prior analysis experience must, in any industry--Does Not Matter-Under Graduate- 300k to 500k-
Analytics
,
Sql
-
Ahmedabad
!!!",1.0,Ahmedabad,300k to 500k,Data_Analytics,Analyst- Ahmedabad (1-2 years of experience),"Analytics,Sql"
" Propose analytics driven solutions to business problems. Includes defining project approach, technical and functional documentation. - Develop detailed project plan with estimate for time and resources involvement. - Getting necessary approval from all stakeholders on project approach, milestones and other key aspects. - Lead team of big data developers/data engineers/data scientists in delivering analytics solutions. - Contribute with technical papers/blogs in analytics field.-Technical Skillset- R/Python/Scala/Java (Python/Java preferred) - MySQL/SQL (Required)  Linux/Windows (Linux hands on preferred) - Hadoop/Map-Reduce/Hive/Spark (Preferred but not pre-requisite)Preferred Candidate - Bachelors or higher degree in computer science. We expect you to be hands on with coding. - 3-5 years of total experience in implementing and delivering analytics solutions across domains. - Should have led team of data scientist, programmers and data engineers before. - Experienced in engaging with different business stakeholders - Should keep abreast of latest developments in Machine Learning, AI, Big Data and propose use of one or other in actual projects. - Must be able to articulate views clearly to business team and client. - Should be go getter when it comes to experimenting with new tools.-Does Not Matter-Under Graduate- 800k to 1400k-
Hadoop
,
Hive
,
Java
,
Linux
,
Mapreduce
,
Python
,
R
,
Spark
,
Sql
-
Noida
!!!",3.0,Noida,800k to 1400k,Data_Analytics,Analytics Delivery Manager- Noida (3-5 Years of Experience),"Hadoop,Hive,Java,Linux,Mapreduce,Python,R,Spark,Sql"
" Understanding project requirements and business goals. - Conceptualize & develop detailed analytical framework for business problem at hand. Involves detailing out heuristics/hypothesis to be tested, potential data points (derived/raw) needed, machine learning techniques to be used. - Data preparation using tools like SQL, R/Python etc. Candidate is expected to be comfortable with at least 2 programming languages with SQL as mandatory. - Develop statistical models for achieving desired business outcomes. This involves trying out multiple algorithms and finding best outcome. - Documentation of entire analytical process starting with raw data to final insights.Desired Skills & Experience- 4 year Bachelor’s or Master’s degree from reputed University with concentration on marketing, finance, economics or other quantitative field such as statistics or engineering. - 1-3 years of experience in advance analytics within consulting environment. - Have extensive analytical/statistical knowledge such as modelling, cluster analysis, Logistic regression, neural networks, Linear regression, time series forecasting, Random Forest. - Good theoretical and practical knowledge of tools SAS, R, Python, SQL, VBA etc - Ability to comprehend intricate and diverse range of business problems and analyze them with limited or complex data and provide a feasible solution framework. - Good Analytical & Problem Solving Skills - Good Communication Skills: Refers to effective oral, written and presentation skills-Tier 1: Any Degree-Under Graduate- 400k to 800k-
Analytics
,
Clustering
,
Forecasting
,
Linear Regression
,
Logistic Regression
,
Modeling
,
Neural Network
,
Python
,
R
,
Random Forest
,
Sas
,
Sql
,
Statistics
,
Time Series
-
Noida
!!!",1.0,Noida,400k to 800k,Data_Analytics,Data Scientist- Noida (1-3 Years Of Experience),"Analytics,Clustering,Forecasting,Linear Regression,Logistic Regression,Modeling,Neural Network,Python,R,Random Forest,Sas,Sql,Statistics,Time Series"
"Started 5 years ago, today it is world's no.1 internship platform. We are transforming lives of millions of college students, one meaningful internship at a time.Imagine a world full of freedom and possibilities. A world where you can discover your passion and turn it into your career. A world where your practical skills matter more than your university degree. A world where you do not have to wait till 21 to taste your first work experience (and get a rude shock that it is nothing like you had imagined it to be). A world where you graduate fully assured, fully confident, and fully prepared to stake the claim on your place in the world. We are making this dream a reality. Join us!-What will you do?-•Build, validate and deploy machine learning models for various business problems (recommendation, relevancy, automate decisioning, fraud prevention to name a few)-•Work on data enrichment and integrity frameworks and processes to add to the power of models-•The role would start as an individual lead but overtime you may need to build and lead a team depending on scope of work-Who are we looking for?-Someone with-•2-4 years experience of building and deploying Machine Learning models, preferably in internet industry-•Sound knowledge of R, Python and different data mining tools (Advanced Excel, MySQL etc.)-•Deep knowledge of various predictive modeling and machine learning algorithms and underlying Maths and Stats behind them-•Bachelors or Masters degree from top Engineering colleges (IITs) or Mathematics/Statistics institutes (ISI, IISc., Indian Institute of Mathematics etc.)-•Strong analytical, numerical, interpersonal skills and business acumen-Location - Gurgaon (Address) -Compensation - INR 10-15 Lacs per annum-Start date – Immediately-Tier 1: Any Degree-Under Graduate- 1000k to 1500k-
Excel
,
 Machine Learning
,
Predictive Modeling
,
Python
,
R
-
Gurgaon
!!!",2.0,Gurgaon,1000k to 1500k,Data_Analytics,Data Scientist (Machine Learning) – Gurgaon (2-4 years of experience),"Excel,Machine Learning,Predictive Modeling,Python,R"
"- 2-5 years of total experience of Data Analytics / Data Insights Generation - Proven experience in delivering Analytics Solutions - Experience in credit card / banking industry required - Hands on experience on SAS and Excel/VBA - Good communication/ problem solving/ analytical bent of mind.-Does Not Matter-Under Graduate- 550k to 850k-
Analytics
,
Bfsi
,
Data Analytics
,
Excel
,
Sas
,
Vba
-
Gurugram
!!!",2.0,Gurugram,550k to 850k,Data_Analytics,Business Analyst/senior Business Analyst - Data Analytics – BFSI Gurgaon (2-5 Years Of Experience),"Analytics,Bfsi,Data Analytics,Excel,Sas,Vba"
"Hence, we are looking for a curious data scientist, who can find his / her way through big data.The person would be responsible for setting up an HR analytics practice, proving the value to the organization and scaling it up. The person should be a thought leader, open to try out new approaches and ready to work on problems, not many have solved.-Responsibilities:-•Set up data practices to identify and implement data based opportunities in the organization.-•Create machine learning models to predict human behaviour specifically attrition of employees, performance expectation and prediction.-•Implement, evangelize and scale big data based solutions within the organization-Skills:-•You have a deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms.-•With 4+ years of experience delivering world-class data science outcomes, you solve complex analytical problems using quantitative approaches with your unique blend of analytical, mathematical and technical skills.-•You are accomplished in the use of Advanced Machine Learning Algorithms with the techniques like R, SVM, Survival, Neural Network, Random Forest etc..-Does Not Matter-Under Graduate- 1200k to 1700k-
Classification
,
Clustering
,
Machine Learning
,
 Optimization
,
Predictive Modeling
,
Statistical Modeling
-
Gurugram
!!!",4.0,Gurugram,1200k to 1700k,Data_Analytics,Data Scientist – Delhi NCR (4+ years of experience),"Classification,Clustering,Machine Learning,Optimization,Predictive Modeling,Statistical Modeling"
